Feature,Importance
student_id_STU07181,0.0005308266132566093
student_id_STU06747,0.0005274281760307715
student_id_STU07441,0.0005265433565560886
student_id_STU07470,0.0005256243263928018
student_id_STU05471,0.0005241922696342709
student_id_STU08079,0.0005241232287161239
student_id_STU01221,0.0005223372246387061
student_id_STU08356,0.0005215767036765054
student_id_STU03267,0.0005214381981742723
student_id_STU04365,0.0005207902765123319
student_id_STU01227,0.0005205904844242525
student_id_STU03952,0.0005201635382386244
student_id_STU08548,0.00051536433772324
student_id_STU06974,0.0005135540409618328
student_id_STU06934,0.0005134364764616965
student_id_STU03428,0.0005107893836456333
student_id_STU05897,0.000510112211758949
student_id_STU02594,0.0005100410692295273
student_id_STU08434,0.000508655949672765
student_id_STU02600,0.000507937105413601
student_id_STU04527,0.0005074845510010333
student_id_STU08819,0.0005068903642530962
student_id_STU07222,0.0005064194484908965
student_id_STU03066,0.0005003074427265781
student_id_STU05686,0.0004994995303182905
student_id_STU06674,0.0004988707862453989
student_id_STU00233,0.0004982076898459087
student_id_STU05644,0.0004981556533794697
student_id_STU06856,0.000497155054212635
student_id_STU06619,0.0004970605851741136
student_id_STU04578,0.0004968357581811164
student_id_STU03367,0.000495094085107439
student_id_STU06962,0.0004941151411543442
student_id_STU03592,0.0004937764420206479
student_id_STU07161,0.0004930579731597163
student_id_STU08585,0.0004916256431793365
student_id_STU04477,0.0004884845314429755
student_id_STU09554,0.00048812605023865777
student_id_STU06710,0.000482818400515495
student_id_STU01653,0.0004827371777421745
student_id_STU09458,0.0004820173125883601
student_id_STU03514,0.0004818791056987776
student_id_STU06061,0.0004806973154238312
student_id_STU02279,0.0004805122100438341
student_id_STU00965,0.00047824957277541833
student_id_STU02559,0.00047393217287080045
student_id_STU06640,0.00047097835274115474
student_id_STU04411,0.0004688062844552366
student_id_STU00688,0.00046796434782077654
student_id_STU06028,0.00046736118488990754
student_id_STU06811,0.000466517741256057
student_id_STU06020,0.0004637527162133435
student_id_STU02282,0.00046032234815781306
student_id_STU07623,0.0004599185022425798
student_id_STU03487,0.0004598036848917297
student_id_STU04646,0.00045947499346916997
student_id_STU09046,0.00045936468206346314
student_id_STU08463,0.0004584005766865081
student_id_STU05653,0.00045778628243160475
student_id_STU08044,0.00045687498507878657
student_id_STU09827,0.0004567924106658038
student_id_STU09475,0.00045662579781233
student_id_STU04839,0.00045662035784290725
student_id_STU02083,0.000452628388336889
student_id_STU04548,0.0004485042118502688
student_id_STU03882,0.0004482868262300786
student_id_STU07531,0.00044769469707687
student_id_STU01830,0.0004468623424512015
student_id_STU04713,0.00044684495248222515
student_id_STU04059,0.0004457341143740007
student_id_STU05105,0.0004444029121722921
student_id_STU00362,0.00044268402022981375
student_id_STU01263,0.00044245081498634826
student_id_STU00253,0.00044194287523391677
student_id_STU01903,0.0004415131480686904
student_id_STU00169,0.0004405547354919754
student_id_STU09190,0.00043983593472670025
student_id_STU06721,0.00043923212888848404
student_id_STU01255,0.0004372349045403896
student_id_STU08904,0.0004371370988247919
student_id_STU00976,0.00043554361298669655
student_id_STU02548,0.0004346047428342064
student_id_STU07209,0.0004289014148705301
student_id_STU06939,0.00042685278702865386
student_id_STU04692,0.0004263627125985252
student_id_STU08800,0.0004236454137977996
student_id_STU04551,0.0004226014469243863
student_id_STU08808,0.00042219460635081806
student_id_STU02468,0.0004148938732306866
student_id_STU07301,0.00040899478790072224
student_id_STU02609,0.00040773463245896756
student_id_STU05423,0.00040639029228887135
student_id_STU02041,0.00040429725339840525
